Matriz de validaciones para el Comprobante fiscal digital por Internet versión 3.3,,,,,,,
NUM,Atributo,Reglas de validación para CFDI versión 3.3,CÓDIGO ERROR,ERROR,,,
80,TotalImpuestosRetenidos,El valor de este atributo debe tener hasta la cantidad de decimales que soporte la moneda.,CFDI33180,El valor del campo TotalImpuestosRetenidos debe tener hasta la cantidad de decimales que soporte la moneda.,,,
81,TotalImpuestosRetenidos,El valor de este atributo debe ser igual a la suma de los importes registrados en el elemento hijo Retencion.,CFDI33181,El valor del campo TotalImpuestosRetenidos debe ser igual a la suma de los importes registrados en el elemento hijo Retencion.,,,
82,TotalImpuestosTrasladados,El valor de este atributo debe tener hasta la cantidad de decimales que soporte la moneda.,CFDI33182,El valor del campo TotalImpuestosTrasladados debe tener hasta la cantidad de decimales que soporte la moneda.,,,
83,TotalImpuestosTrasladados,El valor de este atributo debe ser igual a la suma de los importes registrados en el elemento hijo Traslado.,CFDI33183,El valor del campo TotalImpuestosTrasladados no es igual a la suma de los importes registrados en el elemento hijo Traslado.,,,
84,Retenciones,Debe existir el atributo TotalImpuestosRetenidos.,CFDI33184,Debe existir el campo TotalImpuestosRetenidos.,,,
85,Impuesto,El atributo Impuesto debe contener un valor del catálogo c_Impuesto.,CFDI33185,El campo Impuesto no contiene un valor del catálogo c_Impuesto.,,,
86,Impuesto,Debe haber sólo un registro por cada tipo de impuesto retenido.,CFDI33186,Debe haber sólo un registro por cada tipo de impuesto retenido.,,,
87,Importe,Debe existir el atributo TotalImpuestosRetenidos.,CFDI33187,Debe existir el campo TotalImpuestosRetenidos.,,,
88,Importe,El valor de este atributo debe tener hasta la cantidad de decimales que soporte la moneda.,CFDI33188,El valor del campo Importe correspondiente a Retención debe tener hasta la cantidad de decimales que soporte la moneda.,,,
89,Importe,Debe ser igual a la suma de los importes de los impuestos retenidos registrados en los conceptos donde el impuesto sea igual al atributo impuesto de este elemento.,CFDI33189,El campo Importe correspondiente a Retención no es igual a la suma de los importes de los impuestos retenidos registrados en los conceptos donde el impuesto sea igual al campo impuesto de este elemento.,,,
90,Traslados,Debe existir el atributo TotalImpuestosTrasladados.,CFDI33190,Debe existir el campo TotalImpuestosTrasladados.,,,
91,Impuesto,El atributo Impuesto debe contener un valor del catálogo c_Impuesto.,CFDI33191,El campo Impuesto no contiene un valor del catálogo c_Impuesto.,,,
92,Impuesto,"Debe haber sólo un registro con la misma combinación de impuesto, factor y tasa por cada traslado.",CFDI33192,"Debe haber sólo un registro con la misma combinación de impuesto, factor y tasa por cada traslado.",,,
93,TasaOCuota,El valor seleccionado debe corresponder a un valor del catalogo donde la columna impuesto corresponda con el atributo impuesto y la columna factor corresponda con el atributo TipoFactor.,CFDI33193,El valor seleccionado debe corresponder a un valor del catalogo donde la columna impuesto corresponda con el campo impuesto y la columna factor corresponda con el campo TipoFactor.,,,
94,Importe,El valor de este atributo debe tener hasta la cantidad de decimales que soporte la moneda.,CFDI33194,El valor del campo Importe correspondiente a Traslado debe tener hasta la cantidad de decimales que soporte la moneda.,,,
95,Importe,Debe ser igual a la suma de los importes de los impuestos trasladados registrados en los conceptos donde el impuesto del concepto sea igual al atributo impuesto de este elemento y la TasaOCuota del concepto sea igual al atributo TasaOCuota de este elemento.,CFDI33195,El campo Importe correspondiente a Traslado no es igual a la suma de los importes de los impuestos trasladados registrados en los conceptos donde el impuesto del concepto sea igual al campo impuesto de este elemento y la TasaOCuota del concepto sea igual al campo TasaOCuota de este elemento.,,,
86,Error no identificado,Error no identificado,CFDI33196,Error no identificado.,,,
